PAYEE_ITEM_DESC,CATÉGORIE,QUANTITÉ,STATUT,TRAN_DATE,REMARQUES
"Transfert vers MVOLA","Transfer (Outward)",-620000.00,"C","2025-12-04","",
"Cantine, Goûtés","STAN&ETHAN",-10000.00,"C","2025-12-04","",
"Cantine, Goûtés","STAN&ETHAN",-7000.00,"C","2025-12-05","",
"News","Quotidienne",-5000.00,"C","2025-12-05","",
"Transfert vers MVOLA","Transfer (Outward)",-120000.00,"C","2025-12-05","",
"Sakafo (Atoandro_Hotely avec  @Feno)","Quotidienne",-7000.00,"C","2025-12-05","",
"Taxi-moto T/maty-A/bao-Ville-A/misy","Quotidienne",-52000.00,"C","2025-12-05","",
"Taxibe T/Maty/A/misy-A/bao","Transport",-1100.00,"C","2025-12-05","",
"Transfert de COFFRE","Transfer (Inward)",100000.00,"C","2025-12-05","",
"@FENO","VINA",-100000.00,"C","2025-12-05","",
"Afterwork","Afterwork",-25600.00,"C","2025-12-05","",
"Transfert de COFFRE","Transfer (Inward)",100000.00,"C","2025-12-06","",
"Piscine Flot Bleu","STAN&ETHAN",-100000.00,"C","2025-12-06","",
"News","Quotidienne",-5000.00,"C","2025-12-06","",
"Barber S&E Me","Soins personnels",-7500.00,"C","2025-12-06","",
"@TAHIANA @STAN/ETHAN @KEVIN/SEHENO","Afterwork",-80000.00,"C","2025-12-07","",
"News","Quotidienne",-5000.00,"C","2025-12-07","",
"Transfert de COFFRE","Transfer (Inward)",84700.00,"C","2025-12-07","",
"Transfert de BOA","Transfer (Inward)",10000.00,"C","2025-12-07","",
"Cantine, Goûtés","STAN&ETHAN",-10000.00,"C","2025-12-08","",
"Odikankana (S&E, Me)","Soins personnels",-27000.00,"C","2025-12-08","",
"Taxi-moto @Mines","Transport",-30000.00,"C","2025-12-08","",
"News","Quotidienne",-5000.00,"C","2025-12-08","",
"Brosse","Accessoires",-10000.00,"C","2025-12-08","",
"Règlement FINEX","VINA",-3000000.00,"C","2025-12-08","",
"Transfert de COFFRE","Transfer (Inward)",3575500.00,"C","2025-12-08","",
"Cantine, Goûtés","STAN&ETHAN",-10000.00,"C","2025-12-09","",
"Médicament FOIE","Soins personnels",-28500.00,"C","2025-12-09","",
"Étagères (02)","Ménage",-460000.00,"C","2025-12-09","",
"News","Quotidienne",-5000.00,"C","2025-12-09","",
"Transfert de COFFRE","Transfer (Inward)",1900600.00,"C","2025-12-11","",
"TMV (12>14)","Quotidienne",-15500.00,"C","2025-12-12","",
"Transfert vers MVOLA","Transfer (Outward)",-300000.00,"C","2025-12-16","",
"Transfert vers MVOLA","Transfer (Outward)",-60000.00,"C","2025-12-17","",
"Dépenses >17/12","Dépenses",-96000.00,"C","2025-12-17","",
"Sakafo (RN2)","Quotidienne",-10000.00,"C","2025-12-18","",
"Transfert vers MVOLA","Transfer (Outward)",-50000.00,"C","2025-12-18","",
"17-18/12","Quotidienne",-12500.00,"C","2025-12-18","",
"Transfert vers MVOLA","Transfer (Outward)",-300000.00,"C","2025-12-19","",
