PAYEE_ITEM_DESC,CATÉGORIE,QUANTITÉ,STATUT,TRAN_DATE,REMARQUES
"Transfert vers Argent liquide","Transfer (Outward)",-100000.00,"C","2025-11-19","",
"Transfert vers Argent liquide","Transfer (Outward)",-1000000.00,"C","2025-11-19","",
"Transfert vers ORANGE MONEY","Transfer (Outward)",-900000.00,"C","2025-11-19","",
"Transfert vers Argent liquide","Transfer (Outward)",-1000000.00,"C","2025-11-21","",
"Transfert vers Argent liquide","Transfer (Outward)",-1000000.00,"C","2025-11-23","",
"Transfert vers Argent liquide","Transfer (Outward)",-2000000.00,"C","2025-11-26","",
"À VERIFIER 🎯💯🛑🚧","À VERIFIER 🎯💯🛑🚧",-13000000.00,"C","2025-12-03","",
